         10340073 function calls (10076572 primitive calls) in 130.711 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2763/2754    0.011    0.000    0.020    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1280(pending)
    10017    0.006    0.000    0.019    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:642(preprocess)
      123    0.001    0.000    0.019    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:903(target)
     9798    0.019    0.000    0.019    0.000 {method 'strftime' of 'datetime.date' objects}
   126099    0.019    0.000    0.019    0.000 {built-in method builtins.max}
      123    0.001    0.000    0.018    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:2058(_process_periodic_tasks)
   180346    0.018    0.000    0.018    0.000 {method 'pop' of 'dict' objects}
      159    0.001    0.000    0.018    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:1303(checkout)
    10017    0.003    0.000    0.018    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:454(lexer)
    10053    0.008    0.000    0.017    0.000 //venv/lib/python3.12/site-packages/jinja2/runtime.py:165(__init__)
    60102    0.016    0.000    0.016    0.000 {built-in method builtins.sorted}
       40    0.000    0.000    0.015    0.000 //venv/lib/python3.12/site-packages/pymongo/network_layer.py:132(sendall)
       40    0.001    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1200(sendall)
    10017    0.004    0.000    0.015    0.000 //venv/lib/python3.12/site-packages/jinja2/lexer.py:428(get_lexer)
     2721    0.014    0.000    0.014    0.000 {method 'unregister' of 'select.poll' objects}
      123    0.004    0.000    0.013    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:666(update_pool)
       79    0.002    0.000    0.013    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:1407(_get_conn)
    20106    0.011    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:1023(__iter__)
    60318    0.012    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:1009(__getitem__)
    10017    0.012    0.000    0.012    0.000 {method 'count' of 'str' objects}
     2720    0.012    0.000    0.012    0.000 {method 'register' of 'select.poll' objects}
     4900    0.002    0.000    0.012    0.000 //venv/lib/python3.12/site-packages/folium/map.py:58(__init__)
    70371    0.005    0.000    0.012    0.000 <frozen _collections_abc>:868(__iter__)
     4899    0.005    0.000    0.011    0.000 //venv/lib/python3.12/site-packages/folium/features.py:783(find_identifier)
    30051    0.006    0.000    0.011    0.000 <string>:1(<lambda>)
    10017    0.003    0.000    0.010    0.000 //venv/lib/python3.12/site-packages/jinja2/utils.py:463(get)
       79    0.001    0.000    0.010    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:1605(_perished)
    30024    0.007    0.000    0.010    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1469(module)
       40    0.000    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1173(send)
    55112    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0x103d74a50}
       40    0.010    0.000    0.010    0.000 {method 'write' of '_ssl._SSLSocket' objects}
    10017    0.006    0.000    0.010    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:1379(_make_finalize)
    74942    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
    10017    0.005    0.000    0.009    0.000 //venv/lib/python3.12/site-packages/jinja2/lexer.py:397(close)
    10017    0.009    0.000    0.009    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:301(__init__)
       37    0.000    0.000    0.009    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:710(conn_closed)
    90158    0.009    0.000    0.009    0.000 {built-in method builtins.setattr}
       37    0.000    0.000    0.009    0.000 //venv/lib/python3.12/site-packages/pymongo/socket_checker.py:87(socket_closed)
    10017    0.005    0.000    0.009    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:1434(_output_child_to_const)
     5002    0.005    0.000    0.009    0.000 <template>:13(macro)
    66298    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
    10017    0.006    0.000    0.008    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:168(__init__)
25022/10014    0.007    0.000    0.008    0.000 //venv/lib/python3.12/site-packages/branca/element.py:195(get_root)
    20036    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:645(parent)
2763/2754    0.008    0.000    0.008    0.000 {method 'pending' of '_ssl._SSLSocket' objects}
    10017    0.006    0.000    0.008    0.000 //venv/lib/python3.12/site-packages/jinja2/utils.py:497(__getitem__)
    10017    0.006    0.000    0.008    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1244(_from_namespace)
       39    0.000    0.000    0.007    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:529(on_change)
